coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Apr 23 00:00:00 +0000 2020,Coronavirus,,,0,1253111343676370000,,,,en,,,46,1.24558E+18,Dept_of_AHD,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Dept_of_AHD: Consumption of eggs &amp; chicken doesn't spread #Coronavirus, and there is currently no evidence that it may transmit the vir…",https://twitter.com/ramyavellanki/status/1253111343676379137,Sun Aug 21 10:16:13 +0000 2011,ramyavellanki,FALSE,"Dream Big To Achieve!!🔮 Researcher🔬 #Conservation Biologist (wildlife 🐯) Loves technology, travel& music 🎶 💗 $ramyasreevellanki 💕",272578,6177,3761,223,Hyderabad,꧁❤️ramya❤️꧂,ramyavellanki,275101,,http://paypal.me/ramyavellanki,FALSE
,Thu Apr 23 00:00:01 +0000 2020,,,,0,1253111348600290000,,,,in,,,1203,1.25289E+18,heunoras,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @heunoras: aku taknak sambung, tapi aku mengharapkan sambung. walaupun makin baik tapi penawar betul dia masih tak dijumpai and dia masi…",https://twitter.com/stfubruhhhhh/status/1253111348600291328,Wed Jan 18 15:52:31 +0000 2017,stfubruhhhhh,FALSE,,9077,108,97,0,,veintidós,stfubruhhhhh,28793,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,,https://twitter.com/MetropoliHoy/status/1253111343781216256/photo/1,https://bit.ly/2xQ1doA,0,1253111343781210000,,,,es,,FALSE,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Suman 136 casos positivos y 18 muertes por Coronavirus en Guerrero https://t.co/gxFF5qOGTY https://t.co/EuFYM1rfDT,https://twitter.com/MetropoliHoy/status/1253111343781216256,Fri Jun 03 14:02:31 +0000 2011,MetropoliHoy,FALSE,"Somos un grupo de profesionales para darte la noticia oportuna, veraz, breve y objetiva.",607,7037,1374,25,CDMX,Metropoli Hoy,MetropoliHoy,57032,,http://www.metropolihoy.com,FALSE
,Thu Apr 23 00:00:00 +0000 2020,,,https://www.eg24.news/2020/04/filgoal-news-adebayor-i-didnt-bring-the-corona-virus-to-togo-so-why-donate.html,0,1253111343827290000,,,,en,,FALSE,67,1.25291E+18,EG24NEWS,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @EG24NEWS: FilGoal | News | Adebayor: I didn’t bring the Corona virus to Togo, so why donate? https://t.co/ecQqmeSd7m https://t.co/BFX28…",https://twitter.com/Pyr3xPele/status/1253111343827296263,Sun Aug 06 19:41:45 +0000 2017,Pyr3xPele,FALSE,concentrate!,539,66,196,0,"Im in the Trenches, Relax!",Numbá🎿🖤,Pyr3xPele,1037,,,FALSE
,Thu Apr 23 00:00:01 +0000 2020,,,https://www.rawstory.com/2020/04/here-is-the-horrible-reason-why-nursing-homes-are-being-unnecessarily-overrun-by-the-trump-pandemic/,0,1253111348658980000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Here is the horrible reason why nursing homes are being unnecessarily overrun by the Trump pandemic https://t.co/Agh3jtUozQ,https://twitter.com/WorksGrill/status/1253111348658987009,Fri Aug 30 03:33:51 +0000 2019,WorksGrill,FALSE,#JoeBiden2020 Bone Marrow Transplant Recipient #HuntsmanCancer #OneTermTrump Covid is NOT “completely contained” Covid is NOT a “hoax” Covid is NOT the “Flu”,22720,2885,2860,5,Boise ,The Cheesesteak Guy,WorksGrill,39840,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,,,https://www.adn40.mx/noticia/ciencia/notas/2020-04-22-15-28/crean-ipn-y-tec-de-monterrey-ventilador-pulmonar-mecanico-para-pacientes-con-covid-19,9,1253111343722430000,,,,es,,FALSE,1,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Este ventilador es el más económico del mercado. 

https://t.co/EmAjaXs5Ug",https://twitter.com/adn40/status/1253111343722438658,Thu Oct 22 19:12:03 +0000 2009,adn40,FALSE,"📺 Sintoniza el 40.1 en la CDMX y 1.2 en el resto de la República  💻 Streaming https://t.co/tE81AYlwgn
Somos el canal informativo más visto de México",10649,850499,411,2064,México,adn40,adn40,206554,,https://www.adn40.mx,TRUE
,Thu Apr 23 00:00:00 +0000 2020,,,https://bit.ly/2XDuhKt,2,1253111343865090000,,,,en,,FALSE,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",10 games to help you escape stay-at-home boredom https://t.co/9uk5WDmTif,https://twitter.com/NewsHourArts/status/1253111343865094144,Fri Nov 06 16:39:58 +0000 2009,NewsHourArts,FALSE,PBS @NewsHour’s CANVAS brings viewers like you the best in 🎨 🎭 🎵 📚 📺 🎞️ and other aspects of art and culture with local public media stations.,995,299635,681,2434,"Arlington, VA",PBS NewsHour Arts/CANVAS,NewsHourArts,9707,,https://artscanvas.org,FALSE
,Thu Apr 23 00:00:00 +0000 2020,PoderopediaVe,https://twitter.com/PoderopediaVe/status/1253111343030427649/photo/1,https://bit.ly/2XFqIn3,0,1253111343030420000,,,,es,,FALSE,1,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Encuentra en #PoderopediaVe el perfil de Edgar Capriles, médico especialista en Economía para la salud que integra la Comisión de Expertos para atender el COVID-19, designado por el presidente (E), Juan Guaidó. https://t.co/SkdqFEAGdp https://t.co/1VbFLjdlb7",https://twitter.com/PoderopediaVe/status/1253111343030427649,Sat Apr 26 17:46:44 +0000 2014,PoderopediaVe,FALSE,Consigue aquí los perfiles de los más poderosos de la política y los negocios en Venezuela,784,33359,5492,296,Venezuela,Poderopedia Venezuela,PoderopediaVe,31662,,http://www.poderopediave.org,FALSE
,Thu Apr 23 00:00:01 +0000 2020,,,,0,1253111348193610000,,,,en,,,141,1.25311E+18,nytimes,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @nytimes: The coronavirus pandemic and the collapse in oil prices it has caused have created a monstrous calamity for countries heavily…,https://twitter.com/msanthe/status/1253111348193615872,Wed Sep 15 06:17:49 +0000 2010,msanthe,FALSE,Arquitecto deconstruyendo,6151,759,3235,1,BCN - CDMX - MEX - BS AS,Miguel Santillán Herrejón,msanthe,995,,http://soundcloud.com/santzara,FALSE
,Thu Apr 23 00:00:02 +0000 2020,,,,0,1253111352090150000,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I still can’t believe my job wrote me up for calling out for a family emergency and during a pandemic. I can’t.,https://twitter.com/mishymishx3/status/1253111352090152963,Wed Apr 29 06:44:19 +0000 2009,mishymishx3,FALSE,| 🦋✨ | LI/NYC 🌇🌃 | I am endlessly creating the very best version of me. |,59550,622,664,8,,Mishy 💫,mishymishx3,115527,,,FALSE
,Thu Apr 23 00:00:01 +0000 2020,,https://twitter.com/MayoClinicHS/status/1253111347740622849/photo/1,https://mayocl.in/34VmglK,23,1253111347740620000,,,,en,,FALSE,17,,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","For those at higher risk of getting fatally sick receiving care at home through video appointments is the right option, especially during social distancing. https://t.co/lMQKvuF3jp https://t.co/f30iNh8I9j",https://twitter.com/MayoClinicHS/status/1253111347740622849,Wed Feb 25 17:12:51 +0000 2009,MayoClinicHS,FALSE,"Mayo Clinic Health System offers outstanding care close to home. Part of @MayoClinic, we meet most of your #HealthCare needs locally.",613,19770,1981,366,"Locations in MN, WI, IA",MayoClinicHealthSystem,MayoClinicHS,14614,,https://mayoclinichealthsystem.org/,TRUE
,Thu Apr 23 00:00:00 +0000 2020,EnfermedadesRespiratorias PrevenciónCoronavirus COVID19,https://twitter.com/imssjalcontigo/status/1253111342917021697/photo/1,,0,1253111342917020000,,,,es,,FALSE,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Para evitar contagios de #EnfermedadesRespiratorias, en los festejos de cumpleaños lo mejor es no soplar las velas ni morderle al pastel Pastel de cumpleaños

#PrevenciónCoronavirus #COVID19 https://t.co/ZX7n1f9TWz",https://twitter.com/imssjalcontigo/status/1253111342917021697,Thu Jun 05 13:46:44 +0000 2014,imssjalcontigo,FALSE,#IMSS Jalisco,1949,4539,677,30,Belisario Dominguez No. 1000,IMSS Jalisco,imssjalcontigo,16579,,http://www.imss.gob.mx/,FALSE
,Thu Apr 23 00:00:00 +0000 2020,Hydroxychloriquine covid19,https://twitter.com/RCScience/status/1253111343332249600/photo/1,https://www.realclearscience.com/2020/04/22/more_evidence_hydroxychloroquine_doesn039t_treat_covid-19_290348.html,4,1253111343332240000,,,,en,,FALSE,3,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","More and. more evidence is hinting that #Hydroxychloriquine is no better than standard care for treating #covid19, and may actually make things worse. via @ScienceNews  https://t.co/N1hDDN0dnc https://t.co/epCCl31ux7",https://twitter.com/RCScience/status/1253111343332249600,Tue Sep 28 16:58:42 +0000 2010,RCScience,FALSE,"RCS is your portal to clear, relevant, and evidence-based science news and opinion. We strive to bring you the best of #scicomm. Editor: @SteRoPo",2343,14726,1453,579,"Washington, D.C.",RealClearScience,RCScience,38672,,http://www.realclearscience.com,TRUE
,Thu Apr 23 00:00:01 +0000 2020,,,,0,1253111348847880000,,,,en,,,5,1.25309E+18,BruceAHeyman,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @BruceAHeyman: To get the economy going again will require trust in our public officials. Unfortunately  @POTUS is going out of his way…,https://twitter.com/wasbarrett/status/1253111348847882240,Thu Oct 30 20:52:20 +0000 2014,wasbarrett,FALSE,"My gratitude is so strong! Love having a granddaughter! Thrilled with our custom built home! Proud My Peak Challenge member. Strength in love, family, friends!",87505,450,371,23,,Trish L. L.,wasbarrett,34996,,,FALSE
,Thu Apr 23 00:00:02 +0000 2020,tcot PJNET ORPUW mepolitics CCOT MAGA KAG2020 Trump2020,,https://thefederalist.com/2020/04/22/police-have-started-revolting-against-draconian-coronavirus-edicts-from-local-tyrants/#.XqDaZel7qag.twitter,0,1253111351943120000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Police Have Started Revolting Against Draconian Coronavirus Edicts https://t.co/DahNlEqnBc #tcot #PJNET #ORPUW #mepolitics #CCOT #MAGA #KAG2020 #Trump2020,https://twitter.com/angrymom80/status/1253111351943127040,Fri Aug 14 01:47:09 +0000 2009,angrymom80,FALSE,"❌Former Military, Bible-thumping, gun carrying CONSERVATIVE. Love GOD/FAMILY/USA TRUMP 2020 TCOT/PJNET/CCOT/ORPUW ❌",4331,14763,13584,405,,AngryMom,angrymom80,67367,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,Testimonio,,https://bit.ly/2V6Mr5I,1,1253111343672180000,,,,es,,FALSE,2,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#Testimonio “Algunos vecinos llamaban a Protección Civil para que nos sacaran de la casa, porque decían que éramos una amenaza aunque estábamos aislados”, cuenta Víctor, un venezolano sobreviviente de COVID-19. https://t.co/FUrMsTEJn8",https://twitter.com/EfectoCocuyo/status/1253111343672184838,Fri Dec 26 03:19:58 +0000 2014,EfectoCocuyo,FALSE,Medio independiente venezolano. Periodismo que ilumina. Contacto: efectococuyo@efectococuyo.com | #CocuyoWhatsApp,3813,655227,2798,2564,"Caracas, Venezuela",Efecto Cocuyo,EfectoCocuyo,442153,,http://www.efectococuyo.com,TRUE
,Thu Apr 23 00:00:00 +0000 2020,NCOA SeniorSolutionsUSA,https://twitter.com/Jenifer_MedIns/status/1253111343583866880/photo/1,https://www.ncoa.org/blog/covid-19-and-medications-in-the-news/,1,1253111343583860000,,,,en,,FALSE,1,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","There is widespread confusion about which medications to take or not take during this pandemic. See this guide by the National Council on Aging at https://t.co/qvn85icgui and discuss any questions about your medication with your health care providers.

#NCOA #SeniorSolutionsUSA https://t.co/SD2N8q7Mr7",https://twitter.com/Jenifer_MedIns/status/1253111343583866880,Mon Apr 13 17:44:59 +0000 2020,Jenifer_MedIns,FALSE,"I am in the insurance industry specializing in Medicare plans, health, life, and annuities. I love what I do because I enjoy helping other people.",13,13,69,0,"Tucson, Arizona",Jenifer Patterson,Jenifer_MedIns,538,,https://www.seniorsolutionsusaz.com/home,FALSE
,Thu Apr 23 00:00:00 +0000 2020,,,https://revistacrescer.globo.com/Familia/Saude-e-Beleza-dos-pais/noticia/2020/04/pai-de-36-anos-com-covid-recebe-alta-da-uti-apos-3-semanas-em-coma.html?utm_source=twitter&utm_medium=social&utm_campaign=post,1,1253111343781040000,,,,pt,,FALSE,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Médicos do Hospital Colchester, no Reino Unido, dizem que Jason Mageehan é quase um milagre. O britânico, que ainda está internado, perdeu o primeiro aniversário e os primeiros passos da filha

https://t.co/HokD0IF1Y4",https://twitter.com/crescer/status/1253111343781040130,Fri Mar 20 19:18:08 +0000 2009,crescer,FALSE,"A vida é melhor com os filhos! Assine Crescer a partir de R$ 4,90/mês https://t.co/yZpclA1sjZ",760,31305,948,289,,@crescer,crescer,35456,,https://revistacrescer.globo.com/,TRUE
,Thu Apr 23 00:00:00 +0000 2020,COVID19,,https://focustaiwan.tw/politics/202004220016,17,1253111343818900000,,,,en,,FALSE,3,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Taiwan Tourism Bureau rolls out new protocol after #COVID19 controversy
https://t.co/quVi1rc84B",https://twitter.com/Focus_Taiwan/status/1253111343818907649,Mon Jul 27 06:41:57 +0000 2009,Focus_Taiwan,FALSE,"Daily news from & about Taiwan, local paper headlines, and some stories from our Spanish/Japanese sites. Retweet! Follow FB: @focus.tw Insta: @focus_tw",2289,47982,850,672,Central News Agency (CNA),Focus Taiwan (CNA English News),Focus_Taiwan,54017,,https://focustaiwan.tw,FALSE
,Thu Apr 23 00:00:00 +0000 2020,FuelHope PetronMalaysia FuelHappyAtHome,https://twitter.com/Petron_Malaysia/status/1253111343504334852/photo/1,,3,1253111343504330000,,,,in,,FALSE,2,,,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers (legacy)</a>","Anak bulan di malam cerah,
Menandakan Ramadhan bakal bermula,
Mari kita kekal di rumah,
Agar front liners boleh bersama keluarga.

Stay home and break the chain, so our front liners can be with their family this Ramadhan. 

#FuelHope
#PetronMalaysia
#FuelHappyAtHome https://t.co/N6eHnlJ6nV",https://twitter.com/Petron_Malaysia/status/1253111343504334852,Thu Jan 29 05:21:25 +0000 2015,Petron_Malaysia,FALSE,"The official Twitter account of Petron Malaysia. ⛽🚘👍😊 #PetronFuelHappy #FuelHappyAtHome Chat with Tania & Pat, for any questions/queries 👇",184,1738,23,4,Malaysia,Petron_Malaysia 🇲🇾,Petron_Malaysia,933,,https://m.me/PetronMalaysia?ref=Twitter,TRUE
,Thu Apr 23 00:00:01 +0000 2020,,,http://dlvr.it/RVGvsj,0,1253111347899840000,,,,en,,FALSE,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Special Report: Former Labradoodle breeder tapped to lead U.S. pandemic task force https://t.co/DIDDCz1aTv,https://twitter.com/coolcoolinfo/status/1253111347899842560,Tue Jan 07 09:14:20 +0000 2014,coolcoolinfo,FALSE,"Get fun facts, news, promotions all from here. if you like news at your fingertips, pls RT and recommend friends to follow!",10,368,314,61,,Cool Cool Info,coolcoolinfo,231329,,,FALSE
,Thu Apr 23 00:00:02 +0000 2020,Coronavirus homeschooling,,,0,1253111352001990000,,,,en,,,192,1.25307E+18,WonderWoman2KAG,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WonderWoman2KAG: #Coronavirus: ""If you're #homeschooling your kids, you can start your drinking at 10 am."" ""Baking cakes can be conside…",https://twitter.com/countrostrov/status/1253111352001990656,Thu Sep 14 20:58:16 +0000 2017,countrostrov,TRUE,,13909,1216,3571,0,,Michael Perry,countrostrov,32325,,,FALSE
,Thu Apr 23 00:00:01 +0000 2020,,,https://twitter.com/Alablast/status/1253105757089824770,0,1253111348038410000,,,,en,,FALSE,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Well it's a good thing it's working out for all those grocery store workers.... https://t.co/JVBFnRKT8J,https://twitter.com/Ziggyzoo00/status/1253111348038418438,Thu Jun 16 22:51:54 +0000 2016,Ziggyzoo00,FALSE,I have many interests. I don't suffer fools. I miss the 90s. I love food. Black. Conservative. Follower of Christ. No Lists! Rainy days and Mondays....,118564,1404,1498,3,Lonestar State,Ziggyzoo,Ziggyzoo00,50887,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,,,,0,1253111343613390000,,,,es,,,79,1.25311E+18,fvallejoss,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @fvallejoss: 📰Actualmente 821 millones de personas se van a dormir con hambre a nivel mundial, y otros 135 millones sufren niveles de ha…",https://twitter.com/rlivon/status/1253111343613390848,Tue May 18 18:06:25 +0000 2010,rlivon,FALSE,"Laburante. Ciudadano. Voté a Cristina y Alberto. No a un representante de los ricos, los bancos y los medios hegemónicos. 
✌️",24450,13697,13473,27,"Buenos Aires, Argentina",MejorEsHablar,rlivon,143440,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,,https://twitter.com/revista_paula/status/1253111342149574656/photo/1,https://bit.ly/2VN5Kjv,2,1253111342149570000,,,,es,,FALSE,1,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Los otros síntomas del Covid-19: Diarrea, dolor abdominal, urticaria y pérdida del gusto y el olfato.
https://t.co/Ixar7ce0Qb https://t.co/ImrB4sqyqA",https://twitter.com/revista_paula/status/1253111342149574656,Sat Jul 18 23:26:19 +0000 2009,revista_paula,FALSE,Juntas somos más 💫 Escríbenos a hola@paula.cl ✍️,2477,108468,502,574,Chile,Paula.cl,revista_paula,41297,,http://paula.cl,TRUE
,Thu Apr 23 00:00:02 +0000 2020,RENTRELIEF,,,0,1253111351888790000,FredTJoseph,1.2531E+18,2729784259,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@FredTJoseph Hey I know this may be weird to ask but I don't know what else to do.  been staying in a hotel since the middle of last year and because of the covid-19 I'm out of work n have no money i have to put some type of money for my room you think u can help me? #RENTRELIEF $Essynce16,https://twitter.com/OfficialEssynce/status/1253111351888797704,Fri Jan 08 18:54:58 +0000 2016,OfficialEssynce,FALSE,"I'm working hard to make my dreams become a reality....music and dance are my life and I won't let it go for anything...
SINGER
DANCER
MODEL
ACTRESS
#RIPTovonna",506,102,110,0,"Tampa, FL",Official Es'synce,OfficialEssynce,1124,,https://www.youtube.com/channel/UCXvk4iXbvBzmpsqkvoAddag,FALSE
